case,turn,branch,status,mean_cosine,q1_cosine,q2_cosine,q3_cosine,user,reverse_question_1,reverse_question_2,reverse_question_3
TC-01,1,crisis_sop,AVAILABLE,0.8770853792216631,0.8978533706646697,0.8607238814843597,0.8726788855159598,他现在拿着刀，我感到我快死了。,有人正拿刀威胁我，我现在该怎么办？,我目前处在对方持刀威胁中，怎样才能安全离开并报警？,对方拿着刀，我不确定现在能不能安全打电话或离开，你能告诉我该怎么做吗？
TC-01,2,crisis_sop,AVAILABLE,0.8785647950823661,0.8923307552729467,0.9047132301889458,0.8386503997852057,我不敢报警，他会杀了我。,他现在就在附近，我怕报警后会遭到他的报复，我该怎么办？,我现在可能有危险，但不敢打110，担心他报复，也不方便详细解释，怎么办？,如果我不能安全通话、也不确定能不能离开他能接触到的地方，该怎么求助？
TC-01,3,crisis_sop,AVAILABLE,0.911507414069178,0.9433440659192955,0.8975841980363581,0.8935939782518802,现在我躲在卫生间了，门反锁了，但孩子在隔壁房间睡觉。,我现在躲在反锁的卫生间里，对方就在外面，孩子还在隔壁，我该怎么办？,对方可能会伤害我，我躲进了卫生间，但很担心隔壁的孩子；我现在应该出去、报警，还是留在这里？,我和孩子现在可能有危险，我被迫躲在卫生间里，又不方便安全打电话，怎样才能先脱离对方并求助？
TC-01,4,crisis_sop,AVAILABLE,0.8751248293533479,0.8705293572935501,0.8944620171643219,0.8603831136021717,他好像要砸门了，窗户是封死的,他现在在外面砸门，我很害怕，应该怎么办？,我把自己锁起来了，但他正在砸门，我现在该怎么保证安全？,他可能马上就要破门进来了，我不方便打电话报警，能告诉我现在该怎么做吗？
TC-04,1,capsule,AVAILABLE,0.8514052164440917,0.8735245097213813,0.8224309640390054,0.8582601755718886,我叫小梅，住在沙坪镇，没有工作，但有一只可爱的金毛犬，最近半年他经常打我，我不知道该怎么办。,小梅说这半年里丈夫反复动手打她，每次事后都会道歉，最近暂时平静。她该怎么看待这种情况，现在该怎么办？,伴侣半年内多次打我，事后又道歉，我是不是也有责任？他暂时没再动手，是否说明已经安全了？,请以小梅的情况为背景回应：她半年里反复遭受伴侣殴打，对方事后会道歉。先帮她判断这是不是普通争吵，并询问她当前是否面临再次被打的危险。
TC-04,2,capsule,AVAILABLE,0.8267801783722595,0.8341363528569423,0.8275424850091759,0.81866169725066,我不知道该怎么办，很迷茫。,伴侣近半年来经常打我，每次打完都会道歉，过一阵又会再犯。我很迷茫，也还没准备好离开或报警，该怎么办？,他在这半年里反复对我动手，虽然事后会道歉、暂时平静，但我不知道自己是否安全，也不想马上作出离开他的决定，可以先向谁求助？,我近半年一直遭到他的暴力，现在很害怕，但又犹豫要不要报警或离开。遇到这种情况应如何判断危险，并联系哪些求助渠道？
TC-04,3,capsule,AVAILABLE,0.8377986322347888,0.8408407889415723,0.8255408411078307,0.8470142666549635,我想离开，但又怕没地方去。,我近半年一直被对方打，想离开但没有地方住，也不想让对方知道或被安排调解，可以向哪里求助？,遭受家暴后想马上离开，但还没找到长期住处，妇联或民政部门能提供临时庇护和生活帮助吗？,我想带着金毛一起逃离持续的暴力，又担心临时庇护场所不接收宠物，该怎么联系求助并说明需求？
TC-04,4,capsule,AVAILABLE,0.8173287961205024,0.8234174309199329,0.8173690449766634,0.8111999124649107,我爸妈不支持我。,老公近半年反复打我，但爸妈不支持我离开，我该怎么办？,我遭受伴侣家暴，父母却觉得事情没那么严重、劝我继续留下，我还能向谁求助并找临时住处？,被家暴后如果父母不愿帮我，我是否必须先说服他们？联系12338时该怎么说，才能只咨询安置且不联系对方、不进行调解？
TC-05,1,baseline,AVAILABLE,0.9321586668773257,0.9507453445642443,0.9482224559193917,0.8975082001483415,我看不见，没钱，老公打我，我不敢出声。,我看不见、身上也没钱，丈夫还经常打我，我又不敢出声，只能打字求助，我现在该怎么办？,丈夫殴打我，但我失明、没有钱，也怕被他发现而不敢说话，我怎样才能安全地求助？,我被丈夫家暴了，现在既看不见也没有经济能力，只能偷偷用文字联系你；如果他可能就在身边，我该怎么保护自己？
TC-05,2,capsule,AVAILABLE,0.8500221361546935,0.8861649650499385,0.8873483219625482,0.776553121451594,我尝试用写字板给邻居留言求助，但他们不理我，我也找不到可以信赖的人。,我遭遇家庭暴力，向邻居求助却没有得到回应，现在很孤立，我还能怎么办？,我已经给邻居留了信息，但对方没有回应；如果我不方便出声、又怕他发现，应该如何继续向外界求助？,遭遇家暴时可以拨打12338吗？如果我无法多说，也不希望求助人员联系对方，该怎么表达？
