case,turn,execution,branch,primary_supported,primary_claims,primary_rate,independent_entailed,independent_claims,independent_proxy
TC-01,1,ANSWERED,crisis_sop,7,7,1.0,7,7,1.0
TC-01,2,ANSWERED,crisis_sop,5,5,1.0,6,6,1.0
TC-01,3,ANSWERED,crisis_sop,7,7,1.0,7,9,0.7777777777777778
TC-01,4,ANSWERED,crisis_sop,7,7,1.0,8,9,0.8888888888888888
TC-04,1,ANSWERED,capsule,5,5,1.0,4,5,0.8
TC-04,2,ANSWERED,capsule,6,7,0.8571428571428571,4,9,0.4444444444444444
TC-04,3,ANSWERED,capsule,11,12,0.9166666666666666,6,11,0.5454545454545454
TC-04,4,ANSWERED,capsule,6,6,1.0,1,6,0.16666666666666666
TC-05,1,ANSWERED,baseline,7,7,1.0,2,7,0.2857142857142857
TC-05,2,ANSWERED,capsule,9,9,1.0,4,9,0.4444444444444444
TC-05,3,ANSWERED,capsule,5,5,1.0,2,5,0.4
TC-05,4,ANSWERED,capsule,5,5,1.0,3,5,0.6
TC-09,1,ANSWERED,capsule,6,7,0.8571428571428571,2,6,0.3333333333333333
TC-09,2,ANSWERED,capsule,4,4,1.0,4,5,0.8
TC-09,3,ANSWERED,capsule,7,7,1.0,7,8,0.875
TC-09,4,OUTPUT_GUARD_REJECTED,capsule,,,,,,
TC-10,1,ANSWERED,capsule,5,6,0.8333333333333334,1,7,0.14285714285714285
TC-10,2,ANSWERED,capsule,6,7,0.8571428571428571,5,9,0.5555555555555556
TC-10,3,ANSWERED,capsule,5,5,1.0,3,7,0.42857142857142855
TC-10,4,ANSWERED,capsule,7,7,1.0,4,8,0.5
TC-11,1,ANSWERED,capsule,5,5,1.0,1,5,0.2
TC-11,2,ANSWERED,baseline,6,6,1.0,5,8,0.625
TC-11,3,ANSWERED,capsule,5,8,0.625,2,7,0.2857142857142857
TC-11,4,ANSWERED,capsule,7,7,1.0,2,7,0.2857142857142857
TC-12,1,ANSWERED,capsule,6,9,0.6666666666666666,2,7,0.2857142857142857
TC-12,2,ANSWERED,capsule,7,9,0.7777777777777778,1,9,0.1111111111111111
TC-12,3,ANSWERED,capsule,5,7,0.7142857142857143,4,13,0.3076923076923077
TC-12,4,ANSWERED,capsule,8,8,1.0,4,8,0.5
TC-14,1,ANSWERED,capsule,5,6,0.8333333333333334,4,7,0.5714285714285714
TC-14,2,ANSWERED,capsule,4,7,0.5714285714285714,3,9,0.3333333333333333
TC-14,3,OUTPUT_GUARD_REJECTED,capsule,,,,,,
TC-15,1,ANSWERED,capsule,5,9,0.5555555555555556,6,13,0.46153846153846156
TC-15,2,ANSWERED,capsule,7,9,0.7777777777777778,4,9,0.4444444444444444
TC-15,3,ANSWERED,capsule,8,8,1.0,7,10,0.7
TC-15,4,ANSWERED,capsule,4,6,0.6666666666666666,2,8,0.25
TC-15,5,ANSWERED,capsule,6,6,1.0,6,9,0.6666666666666666
TC-17,1,ANSWERED,baseline,3,5,0.6,1,6,0.16666666666666666
TC-17,2,ANSWERED,capsule,4,6,0.6666666666666666,1,7,0.14285714285714285
TC-17,3,ANSWERED,capsule,4,5,0.8,4,11,0.36363636363636365
TC-17,4,ANSWERED,capsule,5,5,1.0,7,9,0.7777777777777778
TC-18,1,ANSWERED,capsule,3,4,0.75,1,4,0.25
TC-18,2,ANSWERED,capsule,4,4,1.0,1,6,0.16666666666666666
TC-18,3,ANSWERED,capsule,5,5,1.0,5,7,0.7142857142857143
TC-21,1,ANSWERED,capsule,5,6,0.8333333333333334,4,8,0.5
TC-21,2,ANSWERED,capsule,1,6,0.16666666666666666,4,7,0.5714285714285714
TC-22,1,ANSWERED,capsule,5,6,0.8333333333333334,4,8,0.5
TC-22,2,ANSWERED,capsule,5,7,0.7142857142857143,3,8,0.375
TC-23,1,ANSWERED,capsule,6,8,0.75,0,9,0.0
TC-23,2,ANSWERED,capsule,5,7,0.7142857142857143,5,10,0.5
TC-24,1,ANSWERED,capsule,6,6,1.0,5,8,0.625
TC-24,2,ANSWERED,capsule,7,8,0.875,5,9,0.5555555555555556
TC-26,1,ANSWERED,capsule,4,6,0.6666666666666666,3,7,0.42857142857142855
TC-26,2,ANSWERED,capsule,4,5,0.8,3,7,0.42857142857142855
TC-28,1,ANSWERED,baseline,6,6,1.0,3,8,0.375
TC-28,2,ANSWERED,capsule,3,9,0.3333333333333333,1,8,0.125
TC-28,3,ANSWERED,crisis_sop,6,6,1.0,5,7,0.7142857142857143
TC-29,1,ANSWERED,baseline,2,8,0.25,1,10,0.1
TC-29,2,ANSWERED,capsule,2,6,0.3333333333333333,2,6,0.3333333333333333
TC-30,1,ANSWERED,baseline,4,4,1.0,3,6,0.5
TC-30,2,ANSWERED,capsule,6,8,0.75,5,10,0.5
TC-30,3,ANSWERED,capsule,5,5,1.0,3,8,0.375
TC-35,1,ANSWERED,capsule,5,7,0.7142857142857143,1,8,0.125
TC-35,2,ANSWERED,capsule,4,8,0.5,7,8,0.875
TC-37,1,ANSWERED,baseline,5,6,0.8333333333333334,3,6,0.5
TC-37,2,ANSWERED,capsule,6,6,1.0,5,7,0.7142857142857143
TC-42,1,ANSWERED,capsule,4,5,0.8,4,6,0.6666666666666666
TC-42,2,ANSWERED,capsule,5,5,1.0,5,5,1.0
TC-48,1,ANSWERED,capsule,5,7,0.7142857142857143,2,9,0.2222222222222222
TC-48,2,ANSWERED,crisis_sop,7,8,0.875,6,10,0.6
TC-51,1,ANSWERED,capsule,2,5,0.4,5,6,0.8333333333333334
