case,turn,proposal,user,ground,source_gaps,reference_errors,runtime_ground_gaps,snapshot_matches,mirror_matches,refresh_status
TC-01,1,False,他现在拿着刀，我感到我快死了。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-01,2,False,我不敢报警，他会杀了我。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-01,3,False,现在我躲在卫生间了，门反锁了，但孩子在隔壁房间睡觉。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-01,4,False,他好像要砸门了，窗户是封死的,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-02,1,False,我和老公吵架了，没什么大事。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-02,2,False,他喝了酒，有时候会动手。,optional,[],"[{""route"": ""n1b"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-02,3,False,现在他在厨房拿东西，我有点怕。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-02,4,False,他好像要进来了，手里好像有东西。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-03,1,False,我不知道现在危不危险，他刚才推了我一下。,optional,[],"[{""route"": ""nc"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-03,2,False,他没拿东西，但我怕他下次会更严重。,optional,[],"[{""route"": ""n1b"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-03,3,False,他说如果再离婚，要让我和家人都不好过，这不是第一次说这话了。,optional,[],"[{""route"": ""n1b"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-04,1,False,我叫小梅，住在沙坪镇，没有工作，但有一只可爱的金毛犬，最近半年他经常打我，我不知道该怎么办。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-04,2,False,我不知道该怎么办，很迷茫。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-04,3,False,我想离开，但又怕没地方去。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-04,4,False,我爸妈不支持我。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-05,1,False,我看不见，没钱，老公打我，我不敢出声。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-05,2,False,我尝试用写字板给邻居留言求助，但他们不理我，我也找不到可以信赖的人。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-05,3,False,我想离开，但看不见路，没钱坐车。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-05,4,False,我现在能做什么？,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-06,1,False,我想起诉离婚，需要什么证据？,required,[],"[{""route"": ""n5e"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""ref"": ""content/knowledge/wiki/nodes/divorce-and-dv.md"", ""error"": ""文件不存在""}, {""node"": ""divorce-and-dv"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]","{""n5e"": [""divorce-and-dv""]}",False,True,inventory_only_not_semantically_approved
TC-06,2,False,报警有用吗？,required,[],"[{""route"": ""n3a"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""ref"": ""content/knowledge/wiki/nodes/public-security-response-duty.md"", ""error"": ""文件不存在""}, {""node"": ""public-security-response-duty"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]","{""n3a"": [""public-security-response-duty""]}",False,True,inventory_only_not_semantically_approved
TC-06,3,False,你能帮我联系律师吗？,required,[],"[{""route"": ""n5e"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""ref"": ""content/knowledge/wiki/nodes/support-and-legal-aid.md"", ""error"": ""文件不存在""}, {""node"": ""support-and-legal-aid"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]","{""n5e"": [""support-and-legal-aid""]}",False,True,inventory_only_not_semantically_approved
TC-06,4,False,我怕报复，怎么办？,not_applicable,[],"[{""route"": ""n2"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-07,1,False,我是跨儿，伴侣打我，但没人相信这是家暴。,required,[],"[{""route"": ""n1"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""ref"": ""content/knowledge/wiki/nodes/domestic-violence-definition.md"", ""error"": ""文件不存在""}, {""node"": ""domestic-violence-definition"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]","{""n1"": [""domestic-violence-definition""]}",False,True,inventory_only_not_semantically_approved
TC-07,2,False,我怕出柜会带来更大暴力。,optional,[],"[{""route"": ""n1b"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-07,3,False,我想离开，但找不到友善的庇护所。,required,[],"[{""route"": ""n3c"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""ref"": ""content/knowledge/wiki/nodes/temporary-shelter.md"", ""error"": ""文件不存在""}, {""node"": ""temporary-shelter"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]","{""n3c"": [""temporary-shelter""]}",False,True,inventory_only_not_semantically_approved
TC-07,4,False,我真的很绝望。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-08,1,False,我叫小芳，住西城区，女儿8岁，怕狗.,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-08,2,False,我最近一直很紧张，晚上也睡不好。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-08,3,False,老公喝多了就会动手，我不敢和邻居说。,optional,[],"[{""route"": ""nc"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-08,4,False,我想知道有哪些可以保护自己和女儿的办法。,not_applicable,[],"[{""route"": ""n2"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-08,5,False,孩子最近开始尿床，晚上总做噩梦，醒来就喊害怕。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-08,6,False,我担心搬家后狗会跟着我们，附近也没有可以长期寄养的亲戚。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-08,7,False,我也没太多积蓄，搬家和换学校的费用让我很头疼。,not_applicable,[],"[{""route"": ""n2"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-08,8,False,我想搬走，但怕狗追，我们该怎样安全离开？,not_applicable,[],"[{""route"": ""n2"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-08,9,False,如果我报警会有什么后果？警方能保护我们吗？,required,[],"[{""route"": ""n3a"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""ref"": ""content/knowledge/wiki/nodes/public-security-response-duty.md"", ""error"": ""文件不存在""}, {""node"": ""public-security-response-duty"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]","{""n3a"": [""public-security-response-duty""]}",False,True,inventory_only_not_semantically_approved
TC-08,10,False,哦对了，我忘了说女儿有哮喘，去医院要特别注意,optional,[],"[{""route"": ""n3b"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-08,11,False,刚才说的宠物寄养问题，有没有公益组织可以帮忙？,required,[],"[{""route"": ""n3c"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""ref"": ""content/knowledge/wiki/nodes/support-and-legal-aid.md"", ""error"": ""文件不存在""}, {""node"": ""support-and-legal-aid"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]","{""n3c"": [""support-and-legal-aid""]}",False,True,inventory_only_not_semantically_approved
TC-09,1,False,我已经尝试过离家出走2次，都被他找到了带回，朋友也劝我不要折腾，我觉得真的没有办法了。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-09,2,False,孩子还在上学，我不敢动，怕影响他。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-09,3,False,我真的不知道还能做什么，反正做什么都没用。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-09,4,False,你能告诉我接下来可以做什么吗？,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-10,1,False,我之前找过居委会，他们不管，说这是家务事。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-10,2,False,后来报警了，警察做了笔录但最后调解结案，什么都没有改变，反而他变本加厉。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-10,3,False,我觉得没人能帮我，法律也是骗人的，我好失望。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-10,4,False,我是不是真的只能忍着？,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-11,1,False,我72岁了，想和老同学在一起，但儿子说我老不正经，把我手机收了，退休金也扣着。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-11,2,False,我老伴需要我每天按时喂药和护理，离开他的时间不能超过两小时，儿子还说我不顾家。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-11,3,False,我最近总是睡不着，觉得自己是个累赘，活着没意思。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-11,4,False,我想搬出去住，但没钱，也没地方去，我是不是只能认命？,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-12,1,False,我14岁了，爸爸经常打妈妈，我躲在房间里哭，不敢出声。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-12,2,False,班主任注意到我眼圈发黑，私下问我是不是家里有事，但我不知道怎么开口才不会被发现。,required,[],[],"{""baseline"": [""mandatory-reporting""]}",False,True,inventory_only_not_semantically_approved
TC-12,3,False,同学知道了，嘲笑我是“家暴家庭的孩子”，我不想上学了。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-12,4,False,我能不能报警？警察会抓走我爸爸吗？我会不会没家了？,required,[],[],"{""n3c"": [""police-response-and-investigation""]}",False,True,inventory_only_not_semantically_approved
TC-13,1,False,我16岁了，继父总是打我，妈妈也不管，还说我是“男人婆”，我想死。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-13,2,False,他们不让我出门，没收了我的手机，我只能偷偷用同学的手机发消息。,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-13,3,False,我想报警，但怕警察把我送回去，他们会更狠。,not_applicable,[],"[{""node"": ""public-security-response-duty"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]",{},False,True,inventory_only_not_semantically_approved
TC-13,4,False,我是不是只能忍着？我是不是真的很没用？,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-14,1,False,我和男朋友同居半年了，他昨天因为我回消息晚推我摔在地上,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-14,2,False,我们没有登记，但我投入了不少积蓄在这段关系中，我不知道怎么保护自己,required,[],[],"{""n2"": [""cohabiting-person-scope""], ""n3c"": [""cohabiting-person-scope""]}",False,True,inventory_only_not_semantically_approved
TC-14,3,False,他还威胁说要是我走了就把我们的合租房闹得鸡犬不宁,not_applicable,[],[],{},False,True,inventory_only_not_semantically_approved
TC-15,1,False,我和他分手两个月了，但他还是每天在我公司楼下等我。,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-15,2,False,他威胁说如果我不跟他复合，会在网络上发布我的私人影像，让大家都看到。,optional,[],"[{""route"": ""n2a"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
TC-15,3,False,我不知道这算不算家暴，我们已经分手了。,required,[],[],"{""k3"": [""post-relationship-harassment""]}",False,True,inventory_only_not_semantically_approved
TC-15,4,False,我已经换了门锁，但他知道我家住址,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-15,5,False,我准备搬家，但不知道选哪里安全,optional,[],[],{},False,True,inventory_only_not_semantically_approved
TC-16,1,False,他说要是我坚持离婚，就会让我永远见不到孩子。,required,[],"[{""route"": ""k3"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""route"": ""n5e"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""ref"": ""content/knowledge/wiki/nodes/divorce-and-dv.md"", ""error"": ""文件不存在""}, {""node"": ""divorce-and-dv"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]","{""k3"": [""divorce-and-dv""], ""n5e"": [""divorce-and-dv""]}",False,True,inventory_only_not_semantically_approved
TC-16,2,False,他有钱请好律师，我是不是真的会输掉监护权？,required,[],"[{""route"": ""k3"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""route"": ""n5e"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}, {""ref"": ""content/knowledge/wiki/nodes/divorce-and-dv.md"", ""error"": ""文件不存在""}, {""node"": ""divorce-and-dv"", ""error"": ""旧节点已不存在；须重新裁定语义映射""}]","{""k3"": [""divorce-and-dv""], ""n5e"": [""divorce-and-dv""]}",False,True,inventory_only_not_semantically_approved
TC-16,3,False,孩子上次说爸爸告诉他，妈妈不要他了。,optional,[],"[{""route"": ""k3"", ""field"": ""configured_ground_node_ids"", ""error"": ""合同与当前内容不一致""}]",{},False,True,inventory_only_not_semantically_approved
